time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
0.0,-64.99995776290818,0.05293248525724958,0.5961207535084603,0.3176769140606974,0.0
0.01,-64.9999158118686,0.05293249639093895,0.5961207517739284,0.3176769152464528,0.0
0.02,-64.99987413793765,0.052932518112681744,0.5961207483186457,0.3176769176077624,0.0
0.03,-64.99983273260366,0.05293254990224748,0.5961207431560095,0.3176769211346948,0.0
0.04,-64.99979158776657,0.052932591263624075,0.5961207362990522,0.31767692581757573,0.0
0.05,-64.99975069571848,0.05293264172388626,0.5961207277604581,0.31767693164697597,0.0
0.06,-64.99971004912526,0.052932700832116916,0.5961207175525804,0.31767693861369994,0.0
0.07,-64.99966964100884,0.05293276815837889,0.5961207056874565,0.31767694670877483,0.0
0.08,-64.99962946473049,0.052932843292734844,0.596120692176823,0.31767695592344003,0.0
0.09,-64.99958951397478,0.05293292584431297,0.5961206770321302,0.31767696624913744,0.0
0.1,-64.9995497827343,0.052933015440416384,0.5961206602645559,0.3176769776775018,0.0
0.11,-64.99951026529519,0.052933111725674165,0.5961206418850179,0.3176769902003519,0.0
0.12,-64.99947095622316,0.052933214361232106,0.5961206219041866,0.31767700380968183,0.0
0.13,-64.99943185035042,0.05293332302398129,0.5961206003324967,0.3176770184976529,0.0
0.14,-64.99939294276297,0.052933437405822736,0.5961205771801585,0.3176770342565859,0.0
0.15,-64.99935422878863,0.05293355721296646,0.5961205524571688,0.3176770510789535,0.0
0.16,-64.99931570398564,0.05293368216526328,0.5961205261733203,0.3176770689573734,0.0
0.17,-64.99927736413169,0.05293381199556786,0.5961204983382123,0.3176770878846015,0.0
0.18,-64.99923920521354,0.052933946449131596,0.5961204689612593,0.3176771078535254,0.0
0.19,-64.99920122341715,0.0529340852830238,0.5961204380516997,0.3176771288571585,0.0
0.2,-64.99916341511816,0.05293422826558003,0.5961204056186049,0.31767715088863396,0.0
0.21,-64.99912577687297,0.05293437517587616,0.5961203716708867,0.31767717394119926,0.0
0.22,-64.99908830541008,0.05293452580322708,0.596120336217305,0.317677198008211,0.0
0.23,-64.99905099762198,0.052934679946708786,0.5961202992664749,0.3176772230831296,0.0
0.24,-64.99901385055728,0.05293483741470289,0.5961202608268742,0.3176772491595149,0.0
0.25,-64.99897686141333,0.05293499802446233,0.5961202209068492,0.3176772762310212,0.0
0.26,-64.99894002752912,0.05293516160169749,0.5961201795146216,0.3176773042913932,0.0
0.27,-64.99890334637853,0.05293532798018158,0.5961201366582941,0.31767733333446163,0.0
0.28,-64.99886681556387,0.05293549700137451,0.5961200923458561,0.3176773633541396,0.0
0.29,-64.99883043280978,0.052935668514064366,0.5961200465851891,0.3176773943444185,0.0
0.3,-64.99879419595734,0.052935842374025606,0.5961199993840723,0.3176774262993647,0.0
0.31,-64.99875810295856,0.052936018443693264,0.5961199507501869,0.3176774592131159,0.0
0.32,-64.99872215187098,0.05293619659185238,0.5961199006911209,0.3176774930798782,0.0
0.33,-64.99868634085266,0.05293637669334193,0.5961198492143737,0.31767752789392273,0.0
0.34,-64.99865066815737,0.05293655862877266,0.5961197963273603,0.31767756364958283,0.0
0.35000000000000003,-64.99861513212993,0.05293674228425801,0.5961197420374155,0.3176776003412512,0.0
0.36,-64.99857973120187,0.05293692755115772,0.5961196863517971,0.3176776379633773,0.0
0.37,-64.99854446388724,0.05293711432583336,0.5961196292776906,0.31767767651046475,0.0
0.38,-64.9985093287786,0.0529373025094153,0.5961195708222113,0.317677715977069,0.0
0.39,-64.99847432454325,0.0529374920075806,0.5961195109924091,0.31767775635779494,0.0
0.4,-64.99843944991962,0.05293768273034124,0.5961194497952704,0.31767779764729476,0.0
0.41000000000000003,-64.99840470371376,0.052937874591842286,0.596119387237722,0.31767783984026576,0.0
0.42,-64.99837008479614,0.05293806751016948,0.5961193233266331,0.3176778829314486,0.0
0.43,-64.99833559209843,0.052938261407165815,0.5961192580688189,0.3176779269156252,0.0
0.44,-64.99830122461056,0.0529384562082567,0.5961191914710425,0.317677971787617,0.0
0.45,-64.99826698137787,0.05293865184228328,0.5961191235400177,0.31767801754228325,0.0
0.46,-64.99823286149838,0.052938848241343574,0.5961190542824112,0.3176780641745195,0.0
0.47000000000000003,-64.9981988641202,0.052939045340641006,0.5961189837048448,0.3176781116792559,0.0
0.48,-64.99816498843909,0.05293924307834003,0.5961189118138978,0.3176781600514559,0.0
0.49,-64.99813123369609,0.05293944139542853,0.5961188386161084,0.3176782092861145,0.0
0.5,-64.99809759917527,0.05293964023558659,0.5961187641179762,0.3176782593782574,0.0
0.51,-64.99806408420162,0.052939839545061464,0.5961186883259637,0.31767831032293936,0.0
0.52,-64.99803068813901,0.05294003927254836,0.5961186112464982,0.31767836211524325,0.0
0.53,-64.99799741038824,0.05294023936907678,0.5961185328859733,0.3176784147502787,0.0
0.54,-64.99796425038518,0.05294043978790221,0.5961184532507504,0.3176784682231812,0.0
0.55,-64.99793120759907,0.05294064048440282,0.5961183723471606,0.31767852252911083,0.0
0.56,-64.99789828153074,0.05294084141598106,0.5961182901815054,0.3176785776632516,0.0
0.5700000000000001,-64.99786547171111,0.052941042541969775,0.5961182067600587,0.31767863362081017,0.0
0.58,-64.9978327776996,0.05294124382354281,0.5961181220890676,0.31767869039701535,0.0
0.59,-64.9978001990827,0.05294144522362967,0.5961180361747539,0.31767874798711687,0.0
0.6,-64.9977677354726,0.05294164670683426,0.5961179490233152,0.3176788063863848,0.0
0.61,-64.99773538650587,0.052941848239357416,0.5961178606409258,0.3176788655901088,0.0
0.62,-64.99770315184212,0.052942049788922974,0.5961177710337378,0.31767892559359734,0.0
0.63,-64.99767103116292,0.05294225132470741,0.5961176802078821,0.317678986392177,0.0
0.64,-64.99763902417061,0.05294245281727268,0.5961175881694696,0.31767904798119184,0.0
0.65,-64.99760713058718,0.052942654238502244,0.5961174949245915,0.3176791103560028,0.0
0.66,-64.99757535015328,0.05294285556154004,0.5961174004793207,0.31767917351198727,0.0
0.67,-64.99754368262721,0.05294305676073237,0.5961173048397123,0.3176792374445381,0.0
0.68,-64.99751212778398,0.052943257811572414,0.596117208011804,0.3176793021490635,0.0
0.6900000000000001,-64.9974806854144,0.05294345869064743,0.5961171100016178,0.3176793676209864,0.0
0.7000000000000001,-64.99744935532426,0.05294365937558834,0.5961170108151597,0.3176794338557441,0.0
0.71,-64.99741813733348,0.052943859845021764,0.5961169104584206,0.31767950084878743,0.0
0.72,-64.99738703127537,0.052944060078524154,0.5961168089373773,0.3176795685955808,0.0
0.73,-64.99735603699582,0.05294426005657822,0.5961167062579925,0.31767963709160146,0.0
0.74,-64.99732515435271,0.052944459760531304,0.5961166024262158,0.31767970633233944,0.0
0.75,-64.9972943832151,0.052944659172555704,0.5961164974479837,0.31767977631329686,0.0
0.76,-64.99726372346272,0.05294485827561089,0.5961163913292206,0.3176798470299878,0.0
0.77,-64.99723317498528,0.052945057053407456,0.5961162840758389,0.317679918477938,0.0
0.78,-64.99720273768192,0.05294525549037274,0.5961161756937399,0.31767999065268426,0.0
0.79,-64.99717241146062,0.05294545357161808,0.5961160661888132,0.3176800635497746,0.0
0.8,-64.99714219623776,0.0529456512829076,0.5961159555669382,0.3176801371647678,0.0
0.81,-64.99711209193752,0.05294584861062842,0.5961158438339839,0.31768021149323283,0.0
0.8200000000000001,-64.99708209849146,0.052946045541762285,0.5961157309958092,0.31768028653074915,0.0
0.8300000000000001,-64.99705221583804,0.05294624206385851,0.5961156170582634,0.31768036227290614,0.0
0.84,-64.99702244392219,0.0529464381650082,0.5961155020271866,0.317680438715303,0.0
0.85,-64.99699278269492,0.05294663383381963,0.5961153859084094,0.3176805158535485,0.0
0.86,-64.99696323211289,0.052946829059394844,0.5961152687077539,0.31768059368326085,0.0
0.87,-64.99693379213808,0.052947023831307276,0.5961151504310334,0.31768067220006746,0.0
0.88,-64.99690446273738,0.05294721813958046,0.596115031084053,0.31768075139960483,0.0
0.89,-64.99687524388229,0.05294741197466772,0.5961149106726094,0.3176808312775184,0.0
0.9,-64.9968461355486,0.0529476053274328,0.5961147892024915,0.31768091182946234,0.0
0.91,-64.99681713771604,0.052947798189131395,0.5961146666794805,0.3176809930510995,0.0
0.92,-64.99678825036803,0.05294799055139359,0.59611454310935,0.3176810749381011,0.0
0.93,-64.9967594734914,0.05294818240620703,0.5961144184978658,0.31768115748614695,0.0
0.9400000000000001,-64.99673080707608,0.052948373745900945,0.5961142928507869,0.31768124069092496,0.0
0.9500000000000001,-64.9967022511149,0.052948564563130913,0.5961141661738648,0.3176813245481313,0.0
0.96,-64.99667380560331,0.0529487548508643,0.5961140384728442,0.3176814090534702,0.0
0.97,-64.99664547053918,0.05294894460236642,0.5961139097534626,0.31768149420265385,0.0
0.98,-64.99661724592256,0.05294913381118727,0.5961137800214509,0.3176815799914024,0.0
0.99,-64.99658913175551,0.052949322471149,0.5961136492825332,0.3176816664154438,0.0
1.0,-64.99656112804185,0.05294951057633383,0.5961135175424271,0.3176817534705138,0.0
1.01,-64.996533234787,0.05294969812107264,0.5961133848068436,0.31768184115235576,0.0
1.02,-64.99650545199779,0.05294988509993402,0.5961132510814872,0.3176819294567207,0.0
1.03,-64.99647777968232,0.05295007150771388,0.5961131163720559,0.31768201837936727,0.0
1.04,-64.99645021784978,0.05295025733942551,0.5961129806842416,0.3176821079160616,0.0
1.05,-64.99642276651029,0.05295044259029011,0.5961128440237297,0.3176821980625774,0.0
1.06,-64.99639542567475,0.052950627255727765,0.5961127063961994,0.31768228881469573,0.0
1.07,-64.99636819535472,0.052950811331348845,0.5961125678073239,0.3176823801682051,0.0
1.08,-64.99634107556227,0.05295099481294579,0.59611242826277,0.31768247211890144,0.0
1.09,-64.99631406630988,0.05295117769648529,0.5961122877681984,0.317682564662588,0.0
1.1,-64.99628716761029,0.05295135997810081,0.5961121463292636,0.31768265779507526,0.0
1.11,-64.9962603794764,0.052951541654085506,0.5961120039516141,0.3176827515121812,0.0
1.12,-64.99623370192117,0.0529517227208854,0.5961118606408925,0.317682845809731,0.0
1.1300000000000001,-64.99620713495752,0.05295190317509294,0.596111716402735,0.31768294068355707,0.0
1.1400000000000001,-64.99618067859821,0.052952083013440815,0.5961115712427718,0.3176830361294991,0.0
